date,rate,daily_factor,accumulated
2021-09-17,5.15,1.000199296508342,1.023171323871623
2021-09-20,5.15,1.000199296508342,1.023375238343906
2021-09-21,5.15,1.000199296508342,1.0235791934556315
2021-09-22,5.15,1.000199296508342,1.0237831892148987
2021-09-23,6.15,1.0002368653583333,1.0240256879868679
2021-09-24,6.15,1.0002368653583333,1.0242682441983955
2021-09-27,6.15,1.0002368653583333,1.024510857863087
2021-09-28,6.15,1.0002368653583333,1.024753528994551
2021-09-29,6.15,1.0002368653583333,1.0249962576063998
2021-09-30,6.15,1.0002368653583333,1.025239043712248
2021-10-01,6.15,1.0002368653583333,1.0254818873257143
2021-10-04,6.15,1.0002368653583333,1.0257247884604201
2021-10-05,6.15,1.0002368653583333,1.0259677471299902
2021-10-06,6.15,1.0002368653583333,1.0262107633480526
2021-10-07,6.15,1.0002368653583333,1.0264538371282386
2021-10-08,6.15,1.0002368653583333,1.0266969684841827
2021-10-11,6.15,1.0002368653583333,1.0269401574295225
2021-10-13,6.15,1.0002368653583333,1.0271834039778989
2021-10-14,6.15,1.0002368653583333,1.0274267081429562
2021-10-15,6.15,1.0002368653583333,1.0276700699383416
2021-10-18,6.15,1.0002368653583333,1.027913489377706
2021-10-19,6.15,1.0002368653583333,1.028156966474703
2021-10-20,6.15,1.0002368653583333,1.02840050124299
2021-10-21,6.15,1.0002368653583333,1.0286440936962271
2021-10-22,6.15,1.0002368653583333,1.028887743848078
2021-10-25,6.15,1.0002368653583333,1.0291314517122092
2021-10-26,6.15,1.0002368653583333,1.0293752173022912
2021-10-27,6.15,1.0002368653583333,1.029619040631997
2021-10-28,7.65,1.000292562779503,1.0299202688403535
2021-10-29,7.65,1.000292562779503,1.030221585176872
2021-11-01,7.65,1.000292562779503,1.0305229896673351
2021-11-03,7.65,1.000292562779503,1.0308244823375339
2021-11-04,7.65,1.000292562779503,1.0311260632132662
2021-11-05,7.65,1.000292562779503,1.0314277323203378
2021-11-08,7.65,1.000292562779503,1.031729489684562
2021-11-09,7.65,1.000292562779503,1.0320313353317592
2021-11-10,7.65,1.000292562779503,1.032333269287758
2021-11-11,7.65,1.000292562779503,1.0326352915783943
2021-11-12,7.65,1.000292562779503,1.0329374022295112
2021-11-16,7.65,1.000292562779503,1.03323960126696
2021-11-17,7.65,1.000292562779503,1.0335418887165992
2021-11-18,7.65,1.000292562779503,1.033844264604295
2021-11-19,7.65,1.000292562779503,1.0341467289559207
2021-11-22,7.65,1.000292562779503,1.034449281797358
2021-11-23,7.65,1.000292562779503,1.0347519231544955
2021-11-24,7.65,1.000292562779503,1.0350546530532296
2021-11-25,7.65,1.000292562779503,1.0353574715194644
2021-11-26,7.65,1.000292562779503,1.0356603785791114
2021-11-29,7.65,1.000292562779503,1.0359633742580896
2021-11-30,7.65,1.000292562779503,1.0362664585823258
2021-12-01,7.65,1.000292562779503,1.0365696315777544
2021-12-02,7.65,1.000292562779503,1.036872893270317
2021-12-03,7.65,1.000292562779503,1.0371762436859635
2021-12-06,7.65,1.000292562779503,1.0374796828506507
2021-12-07,7.65,1.000292562779503,1.0377832107903433
2021-12-08,7.65,1.000292562779503,1.0380868275310136
2021-12-09,9.15,1.0003474924925166,1.038447554910161
2021-12-10,9.15,1.0003474924925166,1.0388084076393647
2021-12-13,9.15,1.0003474924925166,1.0391693857621824
2021-12-14,9.15,1.0003474924925166,1.039530489322188
2021-12-15,9.15,1.0003474924925166,1.0398917183629695
2021-12-16,9.15,1.0003474924925166,1.0402530729281307
2021-12-17,9.15,1.0003474924925166,1.0406145530612907
2021-12-20,9.15,1.0003474924925166,1.040976158806083
2021-12-21,9.15,1.0003474924925166,1.041337890206157
2021-12-22,9.15,1.0003474924925166,1.0416997473051768
2021-12-23,9.15,1.0003474924925166,1.0420617301468218
2021-12-24,9.15,1.0003474924925166,1.0424238387747866
2021-12-27,9.15,1.0003474924925166,1.0427860732327812
2021-12-28,9.15,1.0003474924925166,1.0431484335645305
2021-12-29,9.15,1.0003474924925166,1.0435109198137746
2021-12-30,9.15,1.0003474924925166,1.0438735320242691
2021-12-31,9.15,1.0003474924925166,1.0442362702397845
2022-01-03,9.15,1.0003474924925166,1.0445991345041064
2022-01-04,9.15,1.0003474924925166,1.044962124861036
2022-01-05,9.15,1.0003474924925166,1.0453252413543894
2022-01-06,9.15,1.0003474924925166,1.0456884840279983
2022-01-07,9.15,1.0003474924925166,1.0460518529257092
2022-01-10,9.15,1.0003474924925166,1.046415348091384
2022-01-11,9.15,1.0003474924925166,1.0467789695689
2022-01-12,9.15,1.0003474924925166,1.0471427174021495
2022-01-13,9.15,1.0003474924925166,1.0475065916350401
2022-01-14,9.15,1.0003474924925166,1.047870592311495
2022-01-17,9.15,1.0003474924925166,1.0482347194754522
2022-01-18,9.15,1.0003474924925166,1.0485989731708651
2022-01-19,9.15,1.0003474924925166,1.0489633534417027
2022-01-20,9.15,1.0003474924925166,1.0493278603319487
2022-01-21,9.15,1.0003474924925166,1.0496924938856027
2022-01-24,9.15,1.0003474924925166,1.050057254146679
2022-01-25,9.15,1.0003474924925166,1.0504221411592076
2022-01-26,9.15,1.0003474924925166,1.0507871549672336
2022-01-27,9.15,1.0003474924925166,1.0511522956148176
2022-01-28,9.15,1.0003474924925166,1.0515175631460354
2022-01-31,9.15,1.0003474924925166,1.051882957604978
2022-02-01,9.15,1.0003474924925166,1.0522484790357518
2022-02-02,9.15,1.0003474924925166,1.0526141274824787
2022-02-03,10.65,1.0004016754138976,1.0530369366978096
2022-02-04,10.65,1.0004016754138976,1.0534599157452071
2022-02-07,10.65,1.0004016754138976,1.0538830646928885
2022-02-08,10.65,1.0004016754138976,1.0543063836090987
2022-02-09,10.65,1.0004016754138976,1.0547298725621097
2022-02-10,10.65,1.0004016754138976,1.0551535316202212
2022-02-11,10.65,1.0004016754138976,1.0555773608517602
2022-02-14,10.65,1.0004016754138976,1.0560013603250813
2022-02-15,10.65,1.0004016754138976,1.0564255301085663
2022-02-16,10.65,1.0004016754138976,1.0568498702706246
2022-02-17,10.65,1.0004016754138976,1.0572743808796932
2022-02-18,10.65,1.0004016754138976,1.0576990620042364
2022-02-21,10.65,1.0004016754138976,1.058123913712746
2022-02-22,10.65,1.0004016754138976,1.0585489360737415
2022-02-23,10.65,1.0004016754138976,1.0589741291557697
2022-02-24,10.65,1.0004016754138976,1.059399493027405
2022-02-25,10.65,1.0004016754138976,1.0598250277572498
2022-03-02,10.65,1.0004016754138976,1.0602507334139333
2022-03-03,10.65,1.0004016754138976,1.0606766100661125
2022-03-04,10.65,1.0004016754138976,1.0611026577824723
