fund,date,proxy_return
Brave I FIC FIM CP,2022-01-21,-0.028399352416928904
Brave I FIC FIM CP,2022-01-24,-0.02933359902243034
Brave I FIC FIM CP,2022-01-25,-0.02998976789140693
Brave I FIC FIM CP,2022-01-26,-0.033391844067096506
Brave I FIC FIM CP,2022-01-27,-0.03457603046264834
Brave I FIC FIM CP,2022-01-28,-0.03546695874906313
Brave I FIC FIM CP,2022-01-31,-0.03413753831080628
Brave I FIC FIM CP,2022-02-01,-0.03532283499138694
Brave I FIC FIM CP,2022-02-02,-0.03451257989458494
Brave I FIC FIM CP,2022-02-03,-0.034697079561014706
Brave I FIC FIM CP,2022-02-04,-0.03603170320455476
Brave I FIC FIM CP,2022-02-07,-0.03681884879172098
Brave I FIC FIM CP,2022-02-08,-0.03553824680558263
Brave I FIC FIM CP,2022-02-09,-0.036660570687363565
Brave I FIC FIM CP,2022-02-10,-0.039746093700498135
Brave I FIC FIM CP,2022-02-11,-0.040476084593498975
Brave I FIC FIM CP,2022-02-14,-0.03740513742737373
Brave I FIC FIM CP,2022-02-15,-0.0356253118591193
Brave I FIC FIM CP,2022-02-16,-0.03367184563139413
Brave I FIC FIM CP,2022-02-17,-0.03486303276407799
Brave I FIC FIM CP,2022-02-18,-0.033469010996070164
Brave I FIC FIM CP,2022-02-21,-0.03414292862514336
Brave I FIC FIM CP,2022-02-22,-0.03843209130511025
Brave I FIC FIM CP,2022-02-23,-0.03781353729644254
Brave I FIC FIM CP,2022-02-24,-0.036742066460785976
Brave I FIC FIM CP,2022-02-25,-0.033512244258541435
Brave I FIC FIM CP,2022-03-02,-0.028769426624253813
Brave I FIC FIM CP,2022-03-03,-0.030789371429830355
Brave I FIC FIM CP,2022-03-04,-0.03724987872798014
Brave I FIC FIM CP,2022-03-07,-0.03862717865813757
Brave I FIC FIM CP,2022-03-08,-0.035980568168107074
Brave I FIC FIM CP,2022-03-09,-0.035771479019242144
Brave I FIC FIM CP,2022-03-10,-0.03677382466904536
Brave I FIC FIM CP,2022-03-11,-0.04087696015031067
Brave I FIC FIM CP,2022-03-14,-0.043763277528306034
Brave I FIC FIM CP,2022-03-15,-0.04761953126287949
Brave I FIC FIM CP,2022-03-16,-0.04958624969921576
Brave I FIC FIM CP,2022-03-17,-0.05318904115123842
Brave I FIC FIM CP,2022-03-18,-0.05301322667111971
Brave I FIC FIM CP,2022-03-21,-0.05801630928253592
Brave I FIC FIM CP,2022-03-22,-0.060940074767596435
Brave I FIC FIM CP,2022-03-23,-0.060915478526473325
Brave I FIC FIM CP,2022-03-24,-0.06166995661758275
Brave I FIC FIM CP,2022-03-25,-0.06048201879098753
Brave I FIC FIM CP,2022-03-28,-0.06246169560008747
Brave I FIC FIM CP,2022-03-29,-0.06665560713530307
Brave I FIC FIM CP,2022-03-30,-0.06792741110277101
Brave I FIC FIM CP,2022-03-31,-0.06625348049448554
Brave I FIC FIM CP,2022-04-01,-0.06511691965187154
Brave I FIC FIM CP,2022-04-04,-0.06619409804261213
Brave I FIC FIM CP,2022-04-05,-0.06601890215832269
Brave I FIC FIM CP,2022-04-06,-0.06299239044064238
Brave I FIC FIM CP,2022-04-07,-0.06230580849593694
Brave I FIC FIM CP,2022-04-08,-0.06375606427943448
Brave I FIC FIM CP,2022-04-11,-0.0640001003956802
Brave I FIC FIM CP,2022-04-12,-0.06422894166192616
Brave I FIC FIM CP,2022-04-13,-0.06555736708988724
Brave I FIC FIM CP,2022-04-14,-0.06482826528223759
Brave I FIC FIM CP,2022-04-18,-0.06124032974403739
Brave I FIC FIM CP,2022-04-19,-0.06119373888033894
Brave I FIC FIM CP,2022-04-20,-0.05855246222662958
Brave I FIC FIM CP,2022-04-22,-0.059283623251630724
Brave I FIC FIM CP,2022-04-25,-0.06225941314142162
Brave I FIC FIM CP,2022-04-26,-0.06175301898817188
Brave I FIC FIM CP,2022-04-27,-0.06125461284902027
Brave I FIC FIM CP,2022-04-28,-0.06133502035988151
Brave I FIC FIM CP,2022-04-29,-0.06592579430209469
Brave I FIC FIM CP,2022-05-02,-0.062328926604124264
Brave I FIC FIM CP,2022-05-03,-0.06120018306153914
Brave I FIC FIM CP,2022-05-04,-0.057500899690487654
Brave I FIC FIM CP,2022-05-05,-0.057309875150077266
Brave I FIC FIM CP,2022-05-06,-0.05834070316819011
Brave I FIC FIM CP,2022-05-09,-0.05946001601334222
Brave I FIC FIM CP,2022-05-10,-0.06367780527042699
Brave I FIC FIM CP,2022-05-11,-0.06481841447258789
Brave I FIC FIM CP,2022-05-12,-0.06622803960617857
Brave I FIC FIM CP,2022-05-13,-0.0616901460749636
Brave I FIC FIM CP,2022-05-16,-0.06208598081570321
Brave I FIC FIM CP,2022-05-17,-0.0632068215559668
Brave I FIC FIM CP,2022-05-18,-0.06519073711681977
Brave I FIC FIM CP,2022-05-19,-0.06309898495376612
Brave I FIC FIM CP,2022-05-20,-0.06450871479768365
Brave I FIC FIM CP,2022-05-23,-0.06707354058743734
Brave I FIC FIM CP,2022-05-24,-0.0680037910390017
Brave I FIC FIM CP,2022-05-25,-0.06673406718266427
Brave I FIC FIM CP,2022-05-26,-0.06750778006730287
Brave I FIC FIM CP,2022-05-27,-0.06755827687176945
Brave I FIC FIM CP,2022-05-30,-0.06969808562857138
Brave I FIC FIM CP,2022-05-31,-0.06952782485092415
Brave I FIC FIM CP,2022-06-01,-0.06881343755954604
Brave I FIC FIM CP,2022-06-02,-0.06935400986942312
Brave I FIC FIM CP,2022-06-03,-0.06973712553461094
Brave I FIC FIM CP,2022-06-06,-0.0688890959458917
Brave I FIC FIM CP,2022-06-07,-0.06721401170431288
Brave I FIC FIM CP,2022-06-08,-0.064321381629533
Brave I FIC FIM CP,2022-06-09,-0.06388735993892573
Brave I FIC FIM CP,2022-06-10,-0.0665261482883577
Brave I FIC FIM CP,2022-06-13,-0.06458936478572583
Brave I FIC FIM CP,2022-06-14,-0.06403721995057894
